Unnamed: 0,Date,Open,High,Low,Close,Adj Close,PercentageChange,Difference,Volume,Currency,Month,MonthStr,Volatility,AverageVolatility
153,2021-06-02,0.3703019917011261,0.4445900022983551,0.3525879979133606,0.4233739972114563,0.4233739972114563,-12.535490100924434,-0.0530720055103302,11425588479,DOGE,6,June,-0.0530720055103302,15.96366805773642
154,2021-06-03,0.4237389862537384,0.440762996673584,0.3788189888000488,0.3999629914760589,0.3999629914760589,5.944548691851328,0.0237759947776795,6809900030,DOGE,6,June,0.0237759947776795,15.96366805773642
155,2021-06-04,0.400981992483139,0.400981992483139,0.3514420092105865,0.3763230144977569,0.3763230144977569,6.552609602761636,0.024658977985382,5889983048,DOGE,6,June,0.02465897798538208,15.96366805773642
156,2021-06-05,0.3767519891262054,0.393885999917984,0.3604879975318908,0.3721770048141479,0.3721770048141479,1.2292495916941677,0.0045749843120574,3464039041,DOGE,6,June,0.004574984312057495,15.96366805773642
157,2021-06-06,0.3716759979724884,0.376798003911972,0.3672539889812469,0.3718070089817047,0.3718070089817047,-0.0352362935747548,-0.0001310110092163,1836611411,DOGE,6,June,-0.0001310110092163086,15.96366805773642
158,2021-06-07,0.3715659976005554,0.3796780109405517,0.3298059999942779,0.3310500085353851,0.3310500085353851,12.238631028713504,0.0405159890651703,3043974994,DOGE,6,June,0.040515989065170344,15.96366805773642
159,2021-06-08,0.331822007894516,0.3414349853992462,0.2966600060462951,0.327686995267868,0.327686995267868,1.2618787704003436,0.004135012626648,3918487504,DOGE,6,June,0.004135012626648005,15.96366805773642
160,2021-06-09,0.3264229893684387,0.3537620007991791,0.3131310045719147,0.3433310091495514,0.3433310091495514,-4.924699293254841,-0.0169080197811126,3154332929,DOGE,6,June,-0.01690801978111267,15.96366805773642
161,2021-06-10,0.3433389961719513,0.3445290029048919,0.32327800989151,0.32635098695755,0.32635098695755,5.205441347910191,0.0169880092144013,2114010549,DOGE,6,June,0.0169880092144013,15.96366805773642
162,2021-06-11,0.3263640105724334,0.3332229852676391,0.3115020096302032,0.3193590044975281,0.3193590044975281,2.1934581384128657,0.0070050060749053,1834446577,DOGE,6,June,0.00700500607490534,15.96366805773642
